0	1	10
0	2	110
0	3	0111
0	4	11100
0	5	11101
0	6	000101
0	7	000100
0	8	1111011
0	9	1111100
0	10	00100011
0	11	00100010
0	12	11111010
0	13	11111011
0	14	11111110
0	15	11111111
0	16	00000000011111
0	17	00000000011110
0	18	00000000011101
0	19	00000000011100
0	20	00000000011011
0	21	00000000011010
0	22	00000000011001
0	23	00000000011000
0	24	00000000010111
0	25	00000000010110
0	26	00000000010101
0	27	00000000010100
0	28	00000000010011
0	29	00000000010010
0	30	00000000010001
0	31	00000000010000
0	32	000000000011000
0	33	000000000010111
0	34	000000000010110
0	35	000000000010101
0	36	000000000010100
0	37	000000000010011
0	38	000000000010010
0	39	000000000010001
0	40	000000000010000
1	1	010
1	2	00110
1	3	1111001
1	4	00100111
1	5	00100000
1	6	0000000010110
1	7	0000000010101
1	8	000000000011111
1	9	000000000011110
1	10	000000000011101
1	11	000000000011100
1	12	000000000011011
1	13	000000000011010
1	14	000000000011001
1	15	0000000000010011
1	16	0000000000010010
1	17	0000000000010001
1	18	0000000000010000
2	1	00101
2	2	0000111
2	3	11111100
2	4	0000001100
2	5	0000000010100
3	1	00111
3	2	00100110
3	3	000000011100
3	4	0000000010011
4	1	000110
4	2	11111101
4	3	000000010010
5	1	000111
5	2	000000100
5	3	0000000010010
6	1	0000110
6	2	000000011110
6	3	0000000000010100
7	1	0000100
7	2	000000010101
8	1	0000101
8	2	000000010001
9	1	1111000
9	2	0000000010001
10	1	1111010
10	2	0000000010000
11	1	00100001
11	2	0000000000011010
12	1	00100101
12	2	0000000000011001
13	1	00100100
13	2	0000000000011000
14	1	000000101
14	2	0000000000010111
15	1	000000111
15	2	0000000000010110
16	1	0000001101
16	2	0000000000010101
17	1	000000011111
18	1	000000011010
19	1	000000011001
20	1	000000010111
21	1	000000010110
22	1	0000000011111
23	1	0000000011110
24	1	0000000011101
25	1	0000000011100
26	1	0000000011011
27	1	0000000000011111
28	1	0000000000011110
29	1	0000000000011101
30	1	0000000000011100
31	1	0000000000011011
-1	-1	0110
-1	-2	000001
